dataset,station_code,min_,mean_,max_,std_,count_
sswc_ex_1721_meqpm2pyr_50m,HOY,-38.080955505371094,-37.833579614381954,-36.83329772949219,0.4208808469705633,38743
fab_ex_reg_id_2050bc_50m,HOY,0.0,0.0022438873413803775,3.0,0.08201601669028023,38772
fab_ex_n_1721_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_reg_id_1721_50m,HOY,0.0,0.0022438873413803775,3.0,0.08201601669028023,38772
fab_ex_ns_2050bc_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_s_1721_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_n_2030bc_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
sswc_ex_2030bc_meqpm2pyr_50m,HOY,-38.51991271972656,-37.46073484242315,-35.47828674316406,0.9627485372491907,38743
fab_ex_s_2030bc_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_n_2050bc_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_s_2050bc_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_reg_id_1216_50m,HOY,0.0,0.0022438873413803775,3.0,0.08201601669028023,38772
fab_ex_ns_1721_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_ns_2030bc_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_reg_id_2030bc_50m,HOY,0.0,0.0022438873413803775,3.0,0.08201601669028023,38772
sswc_ex_1216_meqpm2pyr_50m,HOY,-37.45712661743164,-36.465913197222726,-34.46274185180664,0.9656286020346386,38743
fab_ex_n_1216_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
sswc_ex_2050bc_meqpm2pyr_50m,HOY,-38.63509750366211,-37.56877694035052,-35.59014892578125,0.9602722125429451,38743
fab_ex_ns_1216_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
fab_ex_s_1216_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38743
ndep_1721_meqpm2pyr_50m,HOY,23.411848068237305,24.7300351031154,29.19343376159668,1.4297409634395735,38743
sdep_2030bc_meqpm2pyr_50m,HOY,8.107518196105957,9.166699468291046,11.149147033691406,0.9627485381265873,38743
sdep_1216_meqpm2pyr_50m,HOY,9.170305252075195,10.161517080504865,12.164690971374512,0.9656280264011373,38743
ndep_2050bc_meqpm2pyr_50m,HOY,23.69378662109375,24.518217807087733,28.89457893371582,0.9338706772284264,38743
sdep_2050bc_meqpm2pyr_50m,HOY,7.992333889007568,9.05865737036368,11.037283897399902,0.9602722208985373,38743
ndep_1216_meqpm2pyr_50m,HOY,35.68879318237305,36.42615762847482,42.326908111572266,1.351954699322449,38743
sdep_1721_meqpm2pyr_50m,HOY,8.546475410461426,8.793850663345637,9.794136047363281,0.4208808408476658,38743
ndep_2030bc_meqpm2pyr_50m,HOY,26.682559967041016,27.271342565108537,31.880033493041992,1.0051374445170975,38743
clmins_meqpm2pyr_50m,HOY,0.0,0.0,0.0,0.0,38772
claoaa_meqpm2pyr_50m,HOY,61.18234634399414,61.18236098215207,61.18234634399414,1.463815792845935e-05,38772
clmaxnoaa_meqpm2pyr_50m,HOY,78.77812957763672,78.77813241514495,78.77812957763672,2.837508233710651e-06,38772
clminn_meqpm2pyr_50m,HOY,1.6321336030960083,1.632133450041267,1.6321336030960083,1.5305474132532026e-07,38772
clmaxsoaa_meqpm2pyr_50m,HOY,62.23188781738281,62.23188125451357,62.23188781738281,6.562869245385627e-06,38772
eno3_meqpm2pyr_50m,HOY,14.554914474487305,14.554913984318581,14.554914474487305,4.901687233882512e-07,38772
