dataset,station_code,min_,mean_,max_,std_,count_
sswc_ex_1721_meqpm2pyr_50m,EIR,-29.476512908935547,-29.247370065618163,-28.228853225708008,0.42380882435478634,28803
sswc_ex_1721_meqpm2pyr_50m,GAU,-59.50465393066406,-58.76261480136694,-58.38175964355469,0.5316096632620135,2341
sswc_ex_1721_meqpm2pyr_50m,HAA,-66.50981140136719,-66.50981723748261,-66.50981140136719,5.836115420265742e-06,1438
fab_ex_reg_id_2050bc_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_reg_id_2050bc_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_reg_id_2050bc_50m,HAA,0.0,0.0,0.0,0.0,1438
fab_ex_n_1721_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_n_1721_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_n_1721_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
fab_ex_reg_id_1721_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_reg_id_1721_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_reg_id_1721_50m,HAA,0.0,0.0,0.0,0.0,1438
fab_ex_ns_2050bc_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_ns_2050bc_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_ns_2050bc_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
fab_ex_s_1721_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_s_1721_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_s_1721_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
fab_ex_n_2030bc_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_n_2030bc_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
fab_ex_n_2030bc_meqpm2pyr_50m,HAA,0.0,0.0,0.0,0.0,1438
sswc_ex_2030bc_meqpm2pyr_50m,EIR,-29.915470123291016,-29.263269017116272,-26.926937103271484,0.7500193985259538,28803
sswc_ex_2030bc_meqpm2pyr_50m,GAU,-57.98674392700195,-57.36037617471166,-57.02674865722656,0.4291127038809547,2341
sswc_ex_2030bc_meqpm2pyr_50m,HAA,-64.992919921875,-64.97366133518776,-64.95574188232422,0.00886875519545352,1438
fab_ex_s_2030bc_meqpm2pyr_50m,EIR,0.0,0.0,0.0,0.0,28803
fab_ex_s_2030bc_meqpm2pyr_50m,GAU,0.0,0.0,0.0,0.0,2341
